window,coordinator_case,fee_multiplier,p_forced_valid,p_customer_fault,p_teacher_fault,ordinary_expected_lesson_gas,ordinary_expected_claim_gas,forced_valid_expected_lesson_gas,forced_valid_expected_claim_gas,customer_fault_expected_lesson_gas,customer_fault_expected_claim_gas,teacher_fault_expected_lesson_gas,teacher_fault_expected_claim_gas,expected_lesson_gas_per_attempted_lesson,expected_claim_gas_per_attempted_lesson,expected_management_gas_per_attempted_lesson,revenue_weight,lesson_settlement_cost_per_attempted_lesson,claim_cost_per_attempted_lesson,claim_inclusive_cost_per_attempted_lesson,cost_share_at_50,cost_share_at_100,cost_share_at_150
Demand-first,No coordinator,1,0,0,0,718708,19464,662606,14884,740085,0,751316,14884,718708,19464,738172,1.000,0.01075226,0.00029119,0.01104346,0.022087,0.011043,0.007362
Demand-first,No coordinator,5,0,0,0,718708,19464,662606,14884,740085,0,751316,14884,718708,19464,738172,1.000,0.05376132,0.00145596,0.05521728,0.110435,0.055217,0.036812
Demand-first,No coordinator,10,0,0,0,718708,19464,662606,14884,740085,0,751316,14884,718708,19464,738172,1.000,0.10752264,0.00291192,0.11043456,0.220869,0.110435,0.073623
Demand-first,Low coordinator,1,0.01,0.003,0.002,718708,19464,662606,14884,740085,0,751316,14884,718276,19351,737627,0.998,0.01074581,0.00028950,0.01103530,0.022126,0.011063,0.007375
Demand-first,Low coordinator,5,0.01,0.003,0.002,718708,19464,662606,14884,740085,0,751316,14884,718276,19351,737627,0.998,0.05372903,0.00144748,0.05517651,0.110630,0.055315,0.036877
Demand-first,Low coordinator,10,0.01,0.003,0.002,718708,19464,662606,14884,740085,0,751316,14884,718276,19351,737627,0.998,0.10745806,0.00289496,0.11035302,0.221259,0.110630,0.073753
Demand-first,Elevated coordinator,1,0.05,0.02,0.01,718708,19464,662606,14884,740085,0,751316,14884,716656,18800,735456,0.985,0.01072157,0.00028126,0.01100283,0.022341,0.011170,0.007447
Demand-first,Elevated coordinator,5,0.05,0.02,0.01,718708,19464,662606,14884,740085,0,751316,14884,716656,18800,735456,0.985,0.05360786,0.00140629,0.05501415,0.111704,0.055852,0.037235
Demand-first,Elevated coordinator,10,0.05,0.02,0.01,718708,19464,662606,14884,740085,0,751316,14884,716656,18800,735456,0.985,0.10721572,0.00281257,0.11002829,0.223408,0.111704,0.074469
Demand-first,Coordinator stress,1,0.1,0.05,0.03,718708,19464,662606,14884,740085,0,751316,14884,715145,17895,733040,0.960,0.01069896,0.00026772,0.01096668,0.022847,0.011424,0.007616
Demand-first,Coordinator stress,5,0.1,0.05,0.03,718708,19464,662606,14884,740085,0,751316,14884,715145,17895,733040,0.960,0.05349479,0.00133862,0.05483341,0.114236,0.057118,0.038079
Demand-first,Coordinator stress,10,0.1,0.05,0.03,718708,19464,662606,14884,740085,0,751316,14884,715145,17895,733040,0.960,0.10698957,0.00267725,0.10966682,0.228473,0.114236,0.076158
Supply-first,No coordinator,1,0,0,0,758320,56146,720038,46989,763656,0,807755,46993,758320,56146,814466,1.000,0.01134488,0.00083998,0.01218486,0.024370,0.012185,0.008123
Supply-first,No coordinator,5,0,0,0,758320,56146,720038,46989,763656,0,807755,46993,758320,56146,814466,1.000,0.05672440,0.00419990,0.06092429,0.121849,0.060924,0.040616
Supply-first,No coordinator,10,0,0,0,758320,56146,720038,46989,763656,0,807755,46993,758320,56146,814466,1.000,0.11344880,0.00839979,0.12184859,0.243697,0.121849,0.081232
Supply-first,Low coordinator,1,0.01,0.003,0.002,758320,56146,720038,46989,763656,0,807755,46993,758052,55868,813920,0.998,0.01134087,0.00083582,0.01217669,0.024414,0.012207,0.008138
Supply-first,Low coordinator,5,0.01,0.003,0.002,758320,56146,720038,46989,763656,0,807755,46993,758052,55868,813920,0.998,0.05670436,0.00417908,0.06088343,0.122072,0.061036,0.040691
Supply-first,Low coordinator,10,0.01,0.003,0.002,758320,56146,720038,46989,763656,0,807755,46993,758052,55868,813920,0.998,0.11340871,0.00835815,0.12176687,0.244144,0.122072,0.081381
Supply-first,Elevated coordinator,1,0.05,0.02,0.01,758320,56146,720038,46989,763656,0,807755,46993,757007,54474,811481,0.985,0.01132524,0.00081496,0.01214020,0.024650,0.012325,0.008217
Supply-first,Elevated coordinator,5,0.05,0.02,0.01,758320,56146,720038,46989,763656,0,807755,46993,757007,54474,811481,0.985,0.05662618,0.00407480,0.06070098,0.123251,0.061625,0.041084
Supply-first,Elevated coordinator,10,0.05,0.02,0.01,758320,56146,720038,46989,763656,0,807755,46993,757007,54474,811481,0.985,0.11325236,0.00814960,0.12140197,0.246501,0.123251,0.082167
Supply-first,Coordinator stress,1,0.1,0.05,0.03,758320,56146,720038,46989,763656,0,807755,46993,756242,52149,808390,0.960,0.01131379,0.00078017,0.01209396,0.025196,0.012598,0.008399
Supply-first,Coordinator stress,5,0.1,0.05,0.03,758320,56146,720038,46989,763656,0,807755,46993,756242,52149,808390,0.960,0.05656894,0.00390086,0.06046980,0.125979,0.062989,0.041993
Supply-first,Coordinator stress,10,0.1,0.05,0.03,758320,56146,720038,46989,763656,0,807755,46993,756242,52149,808390,0.960,0.11313787,0.00780172,0.12093959,0.251957,0.125979,0.083986
Synchronised,No coordinator,1,0,0,0,814537,91656,787021,80210,791767,0,875734,80219,814537,91656,906192,1.000,0.01218591,0.00137122,0.01355713,0.027114,0.013557,0.009038
Synchronised,No coordinator,5,0,0,0,814537,91656,787021,80210,791767,0,875734,80219,814537,91656,906192,1.000,0.06092956,0.00685610,0.06778566,0.135571,0.067786,0.045190
Synchronised,No coordinator,10,0,0,0,814537,91656,787021,80210,791767,0,875734,80219,814537,91656,906192,1.000,0.12185912,0.01371219,0.13557131,0.271143,0.135571,0.090381
Synchronised,Low coordinator,1,0.01,0.003,0.002,814537,91656,787021,80210,791767,0,875734,80219,814316,91243,905559,0.998,0.01218260,0.00136505,0.01354766,0.027163,0.013582,0.009054
Synchronised,Low coordinator,5,0.01,0.003,0.002,814537,91656,787021,80210,791767,0,875734,80219,814316,91243,905559,0.998,0.06091302,0.00682526,0.06773828,0.135816,0.067908,0.045272
