window,coordinator_case,fee_multiplier,p_forced_valid,p_customer_fault,p_teacher_fault,ordinary_expected_research_mutation_gas,ordinary_expected_lesson_gas,ordinary_expected_claim_gas,forced_valid_expected_research_mutation_gas,forced_valid_expected_lesson_gas,forced_valid_expected_claim_gas,customer_fault_expected_research_mutation_gas,customer_fault_expected_lesson_gas,customer_fault_expected_claim_gas,teacher_fault_expected_research_mutation_gas,teacher_fault_expected_lesson_gas,teacher_fault_expected_claim_gas,expected_research_mutation_gas_per_attempted_lesson,expected_lesson_gas_per_attempted_lesson,expected_claim_gas_per_attempted_lesson,expected_management_gas_per_attempted_lesson,expected_coupled_gas_per_attempted_lesson,revenue_weight,lesson_settlement_cost_per_attempted_lesson,claim_cost_per_attempted_lesson,claim_inclusive_cost_per_attempted_lesson,coupled_cost_per_attempted_lesson,cost_share_at_50,cost_share_at_100,cost_share_at_150,coupled_cost_share_at_50,coupled_cost_share_at_100,coupled_cost_share_at_150
Demand-first,No coordinator,1,0,0,0,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,718071,19433,737504,737504,1.000,0.01074273,0.00029073,0.01103347,0.01103347,0.022067,0.011033,0.007356,0.022067,0.011033,0.007356
Demand-first,No coordinator,5,0,0,0,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,718071,19433,737504,737504,1.000,0.05371366,0.00145367,0.05516733,0.05516733,0.110335,0.055167,0.036778,0.110335,0.055167,0.036778
Demand-first,No coordinator,10,0,0,0,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,718071,19433,737504,737504,1.000,0.10742731,0.00290734,0.11033465,0.11033465,0.220669,0.110335,0.073556,0.220669,0.110335,0.073556
Demand-first,Low coordinator,1,0.01,0.003,0.002,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,717639,19320,736959,736959,0.998,0.01073626,0.00028904,0.01102530,0.01102530,0.022106,0.011053,0.007369,0.022106,0.011053,0.007369
Demand-first,Low coordinator,5,0.01,0.003,0.002,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,717639,19320,736959,736959,0.998,0.05368132,0.00144520,0.05512652,0.05512652,0.110529,0.055265,0.036843,0.110529,0.055265,0.036843
Demand-first,Low coordinator,10,0.01,0.003,0.002,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,717639,19320,736959,736959,0.998,0.10736264,0.00289040,0.11025304,0.11025304,0.221059,0.110529,0.073686,0.221059,0.110529,0.073686
Demand-first,Elevated coordinator,1,0.05,0.02,0.01,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,716017,18770,734787,734787,0.985,0.01071200,0.00028081,0.01099281,0.01099281,0.022320,0.011160,0.007440,0.022320,0.011160,0.007440
Demand-first,Elevated coordinator,5,0.05,0.02,0.01,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,716017,18770,734787,734787,0.985,0.05356002,0.00140404,0.05496406,0.05496406,0.111602,0.055801,0.037201,0.111602,0.055801,0.037201
Demand-first,Elevated coordinator,10,0.05,0.02,0.01,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,716017,18770,734787,734787,0.985,0.10712004,0.00280808,0.10992812,0.10992812,0.223204,0.111602,0.074401,0.223204,0.111602,0.074401
Demand-first,Coordinator stress,1,0.1,0.05,0.03,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,714504,17866,732371,732371,0.960,0.01068938,0.00026729,0.01095667,0.01095667,0.022826,0.011413,0.007609,0.022826,0.011413,0.007609
Demand-first,Coordinator stress,5,0.1,0.05,0.03,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,714504,17866,732371,732371,0.960,0.05344688,0.00133645,0.05478333,0.05478333,0.114132,0.057066,0.038044,0.114132,0.057066,0.038044
Demand-first,Coordinator stress,10,0.1,0.05,0.03,0,718071,19433,0,661871,14853,0,739542,0,0,750740,14853,0,714504,17866,732371,732371,0.960,0.10689376,0.00267290,0.10956666,0.10956666,0.228264,0.114132,0.076088,0.228264,0.114132,0.076088
Supply-first,No coordinator,1,0,0,0,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,757623,56054,813676,813676,1.000,0.01133445,0.00083860,0.01217304,0.01217304,0.024346,0.012173,0.008115,0.024346,0.012173,0.008115
Supply-first,No coordinator,5,0,0,0,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,757623,56054,813676,813676,1.000,0.05667223,0.00419298,0.06086521,0.06086521,0.121730,0.060865,0.040577,0.121730,0.060865,0.040577
Supply-first,No coordinator,10,0,0,0,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,757623,56054,813676,813676,1.000,0.11334446,0.00838595,0.12173042,0.12173042,0.243461,0.121730,0.081154,0.243461,0.121730,0.081154
Supply-first,Low coordinator,1,0.01,0.003,0.002,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,757354,55776,813130,813130,0.998,0.01133043,0.00083444,0.01216487,0.01216487,0.024391,0.012195,0.008130,0.024391,0.012195,0.008130
Supply-first,Low coordinator,5,0.01,0.003,0.002,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,757354,55776,813130,813130,0.998,0.05665216,0.00417218,0.06082434,0.06082434,0.121954,0.060977,0.040651,0.121954,0.060977,0.040651
Supply-first,Low coordinator,10,0.01,0.003,0.002,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,757354,55776,813130,813130,0.998,0.11330432,0.00834436,0.12164868,0.12164868,0.243907,0.121954,0.081302,0.243907,0.121954,0.081302
Supply-first,Elevated coordinator,1,0.05,0.02,0.01,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,756308,54383,810692,810692,0.985,0.01131479,0.00081360,0.01212839,0.01212839,0.024626,0.012313,0.008209,0.024626,0.012313,0.008209
Supply-first,Elevated coordinator,5,0.05,0.02,0.01,0,757623,56054,0,719244,46896,0,763114,0,0,807119,46901,0,756308,54383,810692,810692,0.985,0.05657393,0.00406802,0.06064195,0.06064195,0.123131,0.061565,0.041044,0.123131,0.061565,0.041044
