path,scenario,class_size,paid_seats,customer_fault_seats,close_gas
CF_VALID_CS1,customer_fault_valid_close,1,1,1,58622
TF_CS1,teacher_fault,1,1,0,60769
CF_VALID_CS2,customer_fault_valid_close,2,2,1,58634
TF_CS2,teacher_fault,2,2,0,60769
CF_VALID_CS5,customer_fault_valid_close,5,5,1,58634
TF_CS5,teacher_fault,5,5,0,60769
CF_VALID_CS20,customer_fault_valid_close,20,20,1,58902
TF_CS20,teacher_fault,20,20,0,61037
CF_VALID_CS50,customer_fault_valid_close,50,50,1,58902
TF_CS50,teacher_fault,50,50,0,61037
CF_VALID_CS100,customer_fault_valid_close,100,100,1,59161
TF_CS100,teacher_fault,100,100,0,61299
