path,category,course_type_gas,research_setup_gas,research_mutation_gas,lesson_gas,claim_gas,valid_lesson,revenue_weight_bps
ORD_NR,ordinary,135600,0,0,525232,0,true,10000
ORD_ZS,ordinary,119802,518166,0,476914,0,true,10000
ORD_RB,ordinary,119805,759231,0,581554,121083,true,10000
ORD_WM,ordinary,119808,952976,0,656326,76701,true,10000
ORD_ML,ordinary,119811,1475338,173172,658352,75666,true,10000
FV_NR,forced_valid,119813,0,0,427773,0,true,10000
FV_ZS,forced_valid,119815,476516,0,472757,0,true,10000
FV_RB,forced_valid,119817,737381,0,571596,75283,true,10000
FV_WM,forced_valid,119820,953074,0,651675,76728,true,10000
FV_ML,forced_valid,119823,1431681,173172,653701,75666,true,10000
CF_NR,customer_fault,119825,0,0,489221,0,false,5000
CF_ZS,customer_fault,119827,476565,0,514308,0,false,5000
CF_RB,customer_fault,119830,737544,0,534374,0,false,5000
CF_WM,customer_fault,119833,953171,0,537729,0,false,5000
CF_ML,customer_fault,119835,1431819,173172,537738,0,false,5000
TF_NR,teacher_fault,119837,0,0,439500,0,false,5000
TF_ZS,teacher_fault,119839,476613,0,484489,0,false,5000
TF_RB,teacher_fault,119841,737417,0,583327,75283,false,5000
TF_WM,teacher_fault,119844,953268,0,663422,76781,false,5000
TF_ML,teacher_fault,119847,1431961,173172,665447,75666,false,5000
