path,category,course_type_gas,research_setup_gas,research_mutation_gas,lesson_gas,claim_gas,valid_lesson,revenue_weight_bps
ORD_NR,ordinary,198872,0,0,708103,0,true,10000
ORD_ZS,ordinary,174074,521575,0,678937,0,true,10000
ORD_RB,ordinary,174077,761375,0,866113,194334,true,10000
ORD_WM,ordinary,174079,955789,0,960193,171870,true,10000
ORD_ML,ordinary,174082,1478491,177426,962193,170894,true,10000
FV_NR,forced_valid,174084,0,0,630372,0,true,10000
FV_ZS,forced_valid,174086,477921,0,675409,0,true,10000
FV_RB,forced_valid,174089,739526,0,855285,148534,true,10000
FV_WM,forced_valid,174091,955881,0,956673,171895,true,10000
FV_ML,forced_valid,174094,1434825,177426,958672,170894,true,10000
CF_NR,customer_fault,174095,0,0,720046,0,false,5000
CF_ZS,customer_fault,174098,477966,0,765086,0,false,5000
CF_RB,customer_fault,174100,739623,0,824930,0,false,5000
CF_WM,customer_fault,174102,955972,0,828356,0,false,5000
CF_ML,customer_fault,174105,1434955,177426,828363,0,false,5000
TF_NR,teacher_fault,174106,0,0,723220,0,false,5000
TF_ZS,teacher_fault,174109,478011,0,748362,0,false,5000
TF_RB,teacher_fault,174111,739735,0,948132,148534,false,5000
TF_WM,teacher_fault,174113,956062,0,1049534,171944,false,5000
TF_ML,teacher_fault,174116,1435087,177426,1051532,170894,false,5000
